LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,Total,Lower,Upper
00CH,Gateshead,E02001682,Gateshead001,590,510,680
00CH,Gateshead,E02001683,Gateshead002,610,530,700
00CH,Gateshead,E02001684,Gateshead003,440,380,510
00CH,Gateshead,E02001685,Gateshead004,480,420,550
00CH,Gateshead,E02001686,Gateshead005,570,490,650
00CH,Gateshead,E02001687,Gateshead006,450,380,520
00CH,Gateshead,E02001688,Gateshead007,440,380,510
00CH,Gateshead,E02001689,Gateshead008,420,360,480
00CH,Gateshead,E02001690,Gateshead009,540,470,630
00CH,Gateshead,E02001691,Gateshead010,460,400,530
00CH,Gateshead,E02001692,Gateshead011,450,390,520
00CH,Gateshead,E02001693,Gateshead012,440,380,500
00CH,Gateshead,E02001694,Gateshead013,530,460,610
00CH,Gateshead,E02001695,Gateshead014,600,520,700
00CH,Gateshead,E02001696,Gateshead015,460,400,530
00CH,Gateshead,E02001697,Gateshead016,620,530,710
00CH,Gateshead,E02001698,Gateshead017,670,580,770
00CH,Gateshead,E02001699,Gateshead018,490,430,570
00CH,Gateshead,E02001700,Gateshead019,580,500,670
00CH,Gateshead,E02001701,Gateshead020,620,540,720
00CH,Gateshead,E02001702,Gateshead021,450,390,510
00CH,Gateshead,E02001703,Gateshead022,640,560,740
00CH,Gateshead,E02001704,Gateshead023,450,390,520
00CH,Gateshead,E02001705,Gateshead024,510,450,590
00CH,Gateshead,E02001706,Gateshead025,480,420,560
00CH,Gateshead,E02001707,Gateshead026,520,450,600
00CJ,Newcastle upon Tyne,E02001708,NewcastleuponTyne001,650,570,760
00CJ,Newcastle upon Tyne,E02001709,NewcastleuponTyne002,740,640,860
00CJ,Newcastle upon Tyne,E02001710,NewcastleuponTyne003,460,400,540
00CJ,Newcastle upon Tyne,E02001711,NewcastleuponTyne004,500,430,580
00CJ,Newcastle upon Tyne,E02001712,NewcastleuponTyne005,750,640,870
00CJ,Newcastle upon Tyne,E02001713,NewcastleuponTyne006,800,680,930
00CJ,Newcastle upon Tyne,E02001714,NewcastleuponTyne007,720,620,840
00CJ,Newcastle upon Tyne,E02001715,NewcastleuponTyne008,510,450,590
00CJ,Newcastle upon Tyne,E02001716,NewcastleuponTyne009,650,560,740
