msoa_code,workhours
Gateshead026,2650
Gateshead025,3385
Gateshead021,2289
Gateshead023,2606
Gateshead001,2544
Gateshead002,2387
Gateshead003,2701
Gateshead004,2236
Gateshead005,2637
Gateshead006,2996
Gateshead007,1723
Gateshead008,1639
Gateshead009,2339
Gateshead010,2441
Gateshead011,2652
Gateshead012,3001
Gateshead013,2260
Gateshead014,2191
Gateshead015,3796
Gateshead016,2318
Gateshead017,1964
Gateshead018,1774
Gateshead019,2133
Gateshead020,2196
Gateshead022,2047
Gateshead024,2738
NewcastleuponTyne001,3508
NewcastleuponTyne002,3668
NewcastleuponTyne003,2815
NewcastleuponTyne004,2744
NewcastleuponTyne005,3747
NewcastleuponTyne006,3847
NewcastleuponTyne007,3762
NewcastleuponTyne008,3327
NewcastleuponTyne009,2387
NewcastleuponTyne010,2387
NewcastleuponTyne011,1526
NewcastleuponTyne012,3215
NewcastleuponTyne013,2215
NewcastleuponTyne014,3341
NewcastleuponTyne015,2723
NewcastleuponTyne016,1850
NewcastleuponTyne017,2527
NewcastleuponTyne018,3630
NewcastleuponTyne019,3177
NewcastleuponTyne020,2680
NewcastleuponTyne021,3198
NewcastleuponTyne022,2475
NewcastleuponTyne023,2893
NewcastleuponTyne024,2719
NewcastleuponTyne025,1377
NewcastleuponTyne026,3209
NewcastleuponTyne027,1962
NewcastleuponTyne028,1319
NewcastleuponTyne029,2356
NewcastleuponTyne030,1264
NorthTyneside001,1648
NorthTyneside002,2534
NorthTyneside003,2004
NorthTyneside004,2222
NorthTyneside005,2137
NorthTyneside006,2958
NorthTyneside007,2350
NorthTyneside008,2344
NorthTyneside009,2748
NorthTyneside010,1955
NorthTyneside011,2840
NorthTyneside012,2331
NorthTyneside013,2171
NorthTyneside014,1931
NorthTyneside015,1845
NorthTyneside016,2366
NorthTyneside017,2313
NorthTyneside018,3036
NorthTyneside019,3348
NorthTyneside020,1896
NorthTyneside021,2122
NorthTyneside022,2479
NorthTyneside023,1981
NorthTyneside024,1772
NorthTyneside025,2265
NorthTyneside026,1892
NorthTyneside027,2274
NorthTyneside028,2195
NorthTyneside029,2489
NorthTyneside030,2482
SouthTyneside001,2673
SouthTyneside002,2084
SouthTyneside003,2461
SouthTyneside004,1700
SouthTyneside005,1668
SouthTyneside006,1832
SouthTyneside007,1738
SouthTyneside008,1514
SouthTyneside009,2873
SouthTyneside010,2435
SouthTyneside011,2010
SouthTyneside012,1513
SouthTyneside013,1377
SouthTyneside014,1449
SouthTyneside015,2505
SouthTyneside016,1671
SouthTyneside017,1999
SouthTyneside018,2439
SouthTyneside019,2081
SouthTyneside020,1783
SouthTyneside021,2028
SouthTyneside022,1979
SouthTyneside023,1984
